(0.0,-14.7), 469, 464, 0, 
brickBackground, (640.0,360.0), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
tClimb, (27.011717,3.1745458), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colB, (16.48,5.7733335), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (16.48,7.06), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (16.48,8.68), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (16.473333,10.333333), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colT, (16.473333,11.253333), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colB, (9.483334,6.766667), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (9.47,8.713333), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (9.463333,10.366667), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colT, (9.463333,11.286666), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (9.48,8.364444), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
colM, (3.225606,10.529803), (0.0,0.0), 0.0, 0.0, true, true, 0.0, 0.0, StaticBody, 0.5, 0.5, 0.1, true, 
